"id","district","sch","exp_group","poverty_school","s3","s3npr","f3","f3npr","grade_fall2013","many13","s13_10","s13_11","s13_12","often13","family13","s13_15","s13_16","ethnicity_new","frl_new","lep_new","gender_new","s4","s4npr","tri14","teach","f4","many14","often14","s14_6","s14_7","s14_8","s14_9","s14_10","s14_11","family14","s14_13","s14_14","s14_15"
"WA-1994","WA","920560 ","READS         ",2,158,28,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Hispanic",1,0,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1995","WA","920560 ","READS         ",2,158,28,150,10,3,2,2,2,1,2,2,2,2,"Black",1,0,2,165,19,0,"800282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1999","WA","920560 ","Control (Math)",2,192,86,205,89,3,NA,NA,NA,NA,NA,NA,NA,NA,"Black",0,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2001","WA","920560 ","Control (Math)",2,149,12,148,8,3,2,1,1,1,1,1,2,1,"Hispanic",1,1,1,165,19,0,"800399",157,3,2,3,2,2,1,1,2,1,1,2,1
"WA-2004","WA","920560 ","Control (Math)",2,212,96,180,58,3,7,NA,4,4,4,3,4,1,"Black",1,0,1,210,81,5,"800399",203,11,5,3,4,3,3,4,4,3,4,1,3
"WA-2006","WA","920560 ","Control (Math)",2,158,28,157,18,3,10,1,2,2,4,1,4,1,"Hispanic",1,1,2,177,36,0,"800399",181,10,4,5,3,5,4,5,3,3,4,2,3
"WA-2007","WA","920560 ","Control (Math)",2,168,50,152,12,3,9,6,6,4,4,4,4,4,"Hispanic",1,1,1,165,19,0,"800399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2008","WA","920560 ","Control (Math)",2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Hispanic",1,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2009","WA","920560 ","READS         ",2,171,56,166,32,3,8,3,6,5,4,3,4,1,"Hispanic",1,1,1,184,48,8,"800282",203,7,5,6,5,3,5,3,2,4,3,2,1
"WA-2011","WA","920560 ","READS         ",2,156,24,166,32,3,6,6,1,1,1,1,2,1,"Hispanic",1,1,2,165,19,10,"800282",163,11,4,6,3,2,4,1,4,3,4,1,2
"WA-2012","WA","920560 ","Control (Math)",2,202,92,184,65,3,6,1,1,NA,3,1,3,1,"Hispanic",0,0,1,226,92,4,"800399",212,11,5,2,5,1,5,5,4,4,4,1,1
"WA-2015","WA","920560 ","READS         ",2,160,32,170,39,3,NA,NA,NA,NA,NA,NA,NA,NA,"Hispanic",1,0,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2017","WA","920560 ","READS         ",2,141,5,143,4,3,NA,NA,NA,NA,NA,NA,NA,NA,"White",1,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2018","WA","920403B","READS         ",1,163,17,168,17,4,6,6,3,5,4,4,1,1,"Black",1,0,1,187,32,9,"800280",160,8,4,6,4,3,3,5,3,4,2,1,4
"WA-2019","WA","920403B","READS         ",1,179,39,181,33,4,10,3,4,2,3,3,2,3,"Hispanic",1,1,2,190,35,1,"800280",165,5,3,3,3,4,3,4,2,3,2,2,3
"WA-2021","WA","920560 ","Control (Math)",2,179,70,197,82,3,1,1,3,2,2,1,2,4,"Black",1,0,2,214,84,2,"800399",223,2,1,2,1,1,1,3,3,4,4,1,1
"WA-2022","WA","920560 ","READS         ",2,212,96,214,94,3,11,6,5,1,4,3,3,3,"White",0,0,1,219,88,3,"800282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2023","WA","920560 ","READS         ",2,147,10,139,2,3,4,1,1,2,1,1,1,2,"Hispanic",1,1,2,175,33,6,"800282",165,9,3,5,3,3,4,2,2,4,4,3,2
"WA-2027","WA","920560 ","Control (Math)",2,179,70,170,39,3,9,1,3,6,4,3,4,1,"Hispanic",1,1,2,198,69,8,"800399",223,11,4,5,3,2,5,4,5,2,2,2,4
"WA-2031","WA","920560 ","READS         ",2,192,86,205,89,3,7,4,2,1,3,3,3,1,"Hispanic",1,0,1,235,96,7,"800282",230,11,5,5,5,4,5,4,5,3,1,1,2
"WA-2033","WA","920560 ","READS         ",2,202,92,214,94,3,6,4,2,1,2,2,2,2,"Hispanic",1,0,1,226,92,0,"800282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2035","WA","920560 ","Control (Math)",2,202,92,184,65,3,6,1,3,1,3,1,2,2,"White",1,0,1,NA,NA,0,"800399",238,7,4,3,4,2,4,4,5,1,1,1,2
"WA-2037","WA","920560 ","Control (Math)",2,150,13,166,32,3,7,4,5,6,3,1,3,4,"Black",1,0,2,192,61,0,"800399",185,4,3,2,4,1,5,4,4,1,2,1,1
"WA-2040","WA","920560 ","READS         ",2,171,56,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Black",1,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2042","WA","920560 ","Control (Math)",2,153,18,153,13,3,11,NA,6,1,4,2,4,1,"Hispanic",1,1,1,179,39,9,"800399",185,4,4,5,3,4,3,2,3,3,4,1,2
"WA-2046","WA","920560 ","Control (Math)",2,184,77,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Black",1,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2048","WA","920560 ","READS         ",2,245,99,207,71,4,5,3,3,1,2,1,2,1,"White",0,0,1,246,92,5,"800272",261,6,3,4,3,2,2,2,5,1,1,1,1
"WA-2049","WA","920560 ","Control (Math)",2,205,76,199,60,4,3,1,1,6,3,1,1,1,"White",0,0,2,197,45,1,"800264",224,4,3,3,3,4,4,3,3,1,1,1,1
"WA-2050","WA","920560 ","READS         ",2,226,92,203,66,4,11,6,1,2,4,3,4,3,"Hispanic",1,0,1,217,70,8,"800272",215,9,3,6,3,2,3,3,3,1,4,1,2
"WA-2051","WA","920560 ","Control (Math)",2,190,58,195,55,4,NA,NA,NA,NA,NA,NA,NA,NA,"Black",0,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2052","WA","920560 ","Control (Math)",2,184,48,199,60,4,2,3,1,1,2,1,3,1,"Black",0,0,1,205,57,3,"800264",224,5,3,4,2,2,2,2,2,2,2,1,2
"WA-2053","WA","920560 ","READS         ",2,214,84,223,86,4,3,3,2,1,4,1,3,1,"White",0,0,2,230,81,2,"800272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2054","WA","920560 ","READS         ",2,205,76,203,66,4,8,5,2,3,3,3,4,3,"White",0,0,2,237,86,5,"800272",232,3,3,3,2,2,3,3,2,3,4,1,2
"WA-2056","WA","920560 ","Control (Math)",2,NA,NA,223,86,4,11,1,6,1,4,3,1,1,"Hispanic",0,0,1,237,86,4,"800047",279,11,5,1,5,1,5,5,5,1,1,1,1
"WA-2057","WA","920560 ","Control (Math)",2,168,23,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Black",1,0,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2059","WA","920560 ","READS         ",2,165,19,192,50,4,3,3,2,1,4,3,4,3,"Hispanic",1,1,1,190,35,8,"800047",183,8,4,6,4,3,4,4,2,1,3,1,1
"WA-2061","WA","920560 ","Control (Math)",2,163,17,148,3,4,6,3,3,1,4,4,4,3,"Hispanic",1,1,1,178,22,10,"800047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2066","WA","920560 ","READS         ",2,150,5,157,8,4,1,1,1,1,4,4,1,4,"Hispanic",1,1,2,187,32,2,"800272",156,6,4,5,2,3,2,3,3,1,4,3,2
"WA-2068","WA","920560 ","Control (Math)",2,168,23,165,14,4,1,1,1,3,2,1,1,3,"Hispanic",1,1,2,197,45,0,"800264",173,4,3,4,3,2,1,4,3,1,4,3,3
"WA-2070","WA","920560 ","READS         ",2,165,19,183,36,4,10,4,5,2,3,NA,4,3,"Black",1,0,2,181,25,2,"800272",178,9,4,6,3,2,3,3,3,1,4,1,1
"WA-2071","WA","920560 ","Control (Math)",2,190,58,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Black",1,0,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2072","WA","920560 ","READS         ",2,181,43,183,36,4,6,6,1,1,3,1,1,1,"Other",1,0,1,NA,NA,0,"800047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2074","WA","920560 ","Control (Math)",2,136,1,138,1,4,5,3,6,2,1,1,1,2,"Black",1,0,2,165,9,0,"800264",156,3,2,3,2,1,2,4,2,2,4,3,1
"WA-2075","WA","920560 ","Control (Math)",2,198,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White",1,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2076","WA","920560 ","READS         ",2,195,65,189,45,4,2,1,1,1,3,NA,4,3,"Black",1,0,2,211,64,0,"800047",194,10,3,2,4,3,4,5,2,2,4,1,3
"WA-2077","WA","920560 ","Control (Math)",2,143,1,151,4,4,3,1,3,2,1,1,1,1,"Hispanic",1,1,2,165,9,0,"800312",152,2,3,2,3,3,3,3,1,3,3,3,3
"WA-2079","WA","920560 ","Control (Math)",2,173,29,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Hispanic",1,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-2080","WA","920560 ","READS         ",2,201,72,223,86,4,3,1,2,1,4,1,4,1,"White",0,0,2,237,86,0,"800272",251,1,1,1,1,1,1,2,4,1,4,1,1
"WA-2081","WA","920560 ","Control (Math)",2,163,17,151,4,4,6,1,6,1,4,3,4,3,"Hispanic",1,1,1,154,3,8,"800264",148,11,3,5,3,4,5,2,2,4,3,4,1
"WA-2082","WA","920560 ","READS         ",2,192,61,207,71,4,11,6,6,3,4,2,4,4,"Black",0,0,1,208,61,2,"800047",232,5,3,2,2,2,2,2,3,1,4,1,3
"WA-2083","WA","920560 ","READS         ",2,214,84,199,60,4,11,4,2,6,4,4,4,1,"Black",0,0,1,224,76,2,"800272",241,5,4,5,4,4,3,4,4,1,4,1,1
